conhecimento,item,tipoembalagem,quantidade,marca,contramarca,tipobloqueio1,motivobloqueio1,justificativabloqueio1,cpfresponsavelbloqueio1,nomeresponsavelbloqueio1,databloqueio1,horabloqueio1,desbloqueadopelotransportador1,cpfresponsaveldesbloqueio1,nomeresponsaveldesbloqueio1,datadesbloqueio1,horadesbloqueio1,justificativadesbloqueio1,tipobloqueio2,motivobloqueio2,justificativabloqueio2,cpfresponsavelbloqueio2,nomeresponsavelbloqueio2,databloqueio2,horabloqueio2,desbloqueadopelotransportador2,cpfresponsaveldesbloqueio2,nomeresponsaveldesbloqueio2,datadesbloqueio2,horadesbloqueio2,justificativadesbloqueio2,tipobloqueio3,motivobloqueio3,justificativabloqueio3,cpfresponsavelbloqueio3,nomeresponsavelbloqueio3,databloqueio3,horabloqueio3,desbloqueadopelotransportador3,cpfresponsaveldesbloqueio3,nomeresponsaveldesbloqueio3,datadesbloqueio3,horadesbloqueio3,justificativadesbloqueio3,tipobloqueio4,motivobloqueio4,justificativabloqueio4,cpfresponsavelbloqueio4,nomeresponsavelbloqueio4,databloqueio4,horabloqueio4,desbloqueadopelotransportador4,cpfresponsaveldesbloqueio4,nomeresponsaveldesbloqueio4,datadesbloqueio4,horadesbloqueio4,justificativadesbloqueio4,quantidadebloqueiosativos,quantidadebloqueiosinativos,indicadorhistoricobloqueio,indicadorhistoricopedidoretificacao,pesobrutoitem(kg),volumeitem(m3),codigomercadoriaperigosa,codigoclassemercadoriaperigosa
151707130051110,0001,outros,0000001,caterpillar inc.ring power corp.,box installation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000707,000","0000000000,810",,
151707130051110,0002,outros,0000001,caterpillar inc.ring power corp.,pallet push arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000001000,000","0000000001,800",,
151707130051110,0003,outros,0000001,caterpillar inc.ring power corp.,box grab handles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000056,000","0000000000,180",,
151707130051110,0004,outros,0000001,caterpillar inc.ring power corp.,piece blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000003540,000","0000000010,650",,
151707130051200,0001,outros,0000001,caterpillar inc.ring power corp.,box grab handles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000056,000","0000000000,180",,
151707130051200,0002,outros,0000001,caterpillar inc.ring power corp.,piece blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000003540,000","0000000010,650",,
151707130051200,0003,outros,0000001,caterpillar inc.ring power corp.,pallet push arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000001000,000","0000000001,800",,
151707130051200,0004,outros,0000001,caterpillar inc.ring power corp.,box installation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000707,000","0000000000,810",,
151707130051382,0001,outros,0000001,caterpillar inc.ring power corp.,box installation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000707,000","0000000000,810",,
151707130051382,0002,outros,0000001,caterpillar inc.ring power corp.,box grab handles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000056,000","0000000000,180",,
151707130051382,0003,outros,0000001,caterpillar inc.ring power corp.,piece blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000003540,000","0000000010,650",,
151707130051382,0004,outros,0000001,caterpillar inc.ring power corp.,pallet push arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000001000,000","0000000001,800",,
151707130051463,0001,outros,0000001,caterpillar inc.ring power corp.,piece blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000003540,000","0000000010,650",,
151707130051463,0002,outros,0000001,caterpillar inc.ring power corp.,box installation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000707,000","0000000000,810",,
151707130051463,0003,outros,0000001,caterpillar inc.ring power corp.,pallet push arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000001000,000","0000000001,800",,
151707130051463,0004,outros,0000001,caterpillar inc.ring power corp.,box grab handles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000056,000","0000000000,180",,
