manifesto,container,nometipo,capacidade(pes),tara(kg)
1517701442672,cniu2215882,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,cniu2216791,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,gesu9075685,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5019688,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5024278,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5041402,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5079413,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5081489,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5082839,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5111768,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5113800,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5115167,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5119687,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5125632,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5130372,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5132879,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5142769,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5147159,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5152010,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5165580,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5173630,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5175628,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5197252,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
1517701442672,sudu5199912,"high cube ref/heated ext. power,40'/9'6",40,"004000,000"
