manifesto,conhecimento,codigoterminalcarregamento,nometerminalcarregamento,codigoterminaldescarregamento,nometerminaldescarregamento
1517701439299,171707123639595,brssz016,santos brasil,,montevideu
1517701439299,171707123639676,brssz016,santos brasil,,montevideu
1517701439299,171707123639757,brssz016,santos brasil,,montevideu
1517701439299,171707123639838,brssz016,santos brasil,,montevideu
1517701439299,171707123639919,brssz016,santos brasil,,montevideu
1517701439299,171707123640097,brssz016,santos brasil,,montevideu
1517701439299,171707123640178,brssz016,santos brasil,,montevideu
1517701439299,101707120568467,brssz016,santos brasil,,montevideu
1517701439299,101707120568548,brssz016,santos brasil,,montevideu
1517701439299,101707120568629,brssz016,santos brasil,,montevideu
1517701439299,101707120568700,brssz016,santos brasil,,montevideu
1517701439299,101707120568890,brssz016,santos brasil,,montevideu
1517701439299,101707120568971,brssz016,santos brasil,,montevideu
1517701439299,071707119926961,brssz016,santos brasil,,montevideu
1517701439302,021707106757000,brssz016,santos brasil,,buenos aires
1517701439302,041707117346680,brssz016,santos brasil,,buenos aires
1517701439302,131707123017218,brssz016,santos brasil,,buenos aires
1517701439302,131707123017307,brssz016,santos brasil,,buenos aires
1517701439302,131707123017480,brssz016,santos brasil,,buenos aires
1517701439302,131707123017560,brssz016,santos brasil,,buenos aires
1517701439302,131707123017641,brssz016,santos brasil,,buenos aires
1517701439302,131707123017722,brssz016,santos brasil,,buenos aires
1517701439302,131707123017803,brssz016,santos brasil,,buenos aires
1517701439302,131707123017994,brssz016,santos brasil,,buenos aires
1517701439302,131707123018028,brssz016,santos brasil,,buenos aires
1517701439302,131707123018109,brssz016,santos brasil,,buenos aires
1517701439302,131707123018290,brssz016,santos brasil,,buenos aires
1517701439302,131707123018370,brssz016,santos brasil,,buenos aires
1517701439302,131707123018451,brssz016,santos brasil,,buenos aires
1517701439302,101707120569277,brssz016,santos brasil,,buenos aires
1517701439302,101707120569358,brssz016,santos brasil,,buenos aires
1517701439302,101707120569439,brssz016,santos brasil,,buenos aires
1517701439302,101707120569510,brssz016,santos brasil,,buenos aires
1517701439302,101707120569609,brssz016,santos brasil,,buenos aires
1517701439302,101707120569781,brssz016,santos brasil,,buenos aires
1517701439302,101707120569862,brssz016,santos brasil,,buenos aires
1517701439302,101707120569943,brssz016,santos brasil,,buenos aires
1517701439302,101707120570011,brssz016,santos brasil,,buenos aires
1517701439302,101707120570100,brssz016,santos brasil,,buenos aires
1517701439302,101707120570283,brssz016,santos brasil,,buenos aires
1517701439302,011707111547569,brssz016,santos brasil,,buenos aires
1517701439302,011707111547640,brssz016,santos brasil,,buenos aires
1517701439302,011707111547720,brssz016,santos brasil,,buenos aires
1517701439302,071707119927003,brssz016,santos brasil,,buenos aires
1517701445795,151707129077900,brssz016,santos brasil,,buenos aires
1517701445965,151707129094758,brssz016,santos brasil,,montevideu
1517701445965,151707129094839,brssz016,santos brasil,,montevideu
1517701445965,151707129094910,brssz016,santos brasil,,montevideu
1517701445965,151707129095053,brssz016,santos brasil,,montevideu
1517701445965,151707129095134,brssz016,santos brasil,,montevideu
1517701445965,151707129095215,brssz016,santos brasil,,montevideu
1517701445965,151707129095304,brssz016,santos brasil,,montevideu
1517701436915,151707128329603,brssz016,santos brasil,,hamburg
1517701436923,151707128329794,brssz016,santos brasil,,tanger med
1517701436923,151707128329875,brssz016,santos brasil,,tanger med
1517701436923,151707128329956,brssz016,santos brasil,,tanger med
1517701436923,151707128330024,brssz016,santos brasil,,tanger med
1517701436923,151707128330105,brssz016,santos brasil,,tanger med
1517701436923,151707128330296,brssz016,santos brasil,,tanger med
1517701436923,151707128916142,brssz016,santos brasil,,tanger med
1517701454786,151707130051030,brssz031,codesp,,jacksonville-fl (florida)
1517701454786,151707130051110,brssz031,codesp,,jacksonville-fl (florida)
